time,sine,cosine,ramp,noise
0.000,0.0000,1.0000,0.0000,0.2000
0.050,0.0500,0.9988,0.0150,0.0598
0.100,0.0998,0.9950,0.0300,0.1182
0.150,0.1494,0.9888,0.0450,0.1740
0.200,0.1987,0.9801,0.0600,0.2259
0.250,0.2474,0.9689,0.0750,0.2727
0.300,0.2955,0.9553,0.0900,0.3133
0.350,0.3429,0.9394,0.1050,0.5470
0.400,0.3894,0.9211,0.1200,0.3728
0.450,0.4350,0.9004,0.1350,0.3903
0.500,0.4794,0.8776,0.1500,0.3990
0.550,0.5227,0.8525,0.1650,0.3987
0.600,0.5646,0.8253,0.1800,0.3895
0.650,0.6052,0.7961,0.1950,0.3716
0.700,0.6442,0.7648,0.2100,0.5453
0.750,0.6816,0.7317,0.2250,0.3112
0.800,0.7174,0.6967,0.2400,0.2702
0.850,0.7513,0.6600,0.2550,0.2231
0.900,0.7833,0.6216,0.2700,0.1710
0.950,0.8134,0.5817,0.2850,0.1150
1.000,0.8415,0.5403,0.3000,0.0564
1.050,0.8674,0.4976,0.3150,0.1966
1.100,0.8912,0.4536,0.3300,-0.0631
1.150,0.9128,0.4085,0.3450,-0.1214
1.200,0.9320,0.3624,0.3600,-0.1770
1.250,0.9490,0.3153,0.3750,-0.2286
1.300,0.9636,0.2675,0.3900,-0.2751
1.350,0.9757,0.2190,0.4050,-0.3154
1.400,0.9854,0.1700,0.4200,-0.1486
1.450,0.9927,0.1205,0.4350,-0.3740
1.500,0.9975,0.0707,0.4500,-0.3910
1.550,0.9998,0.0208,0.4650,-0.3992
1.600,0.9996,-0.0292,0.4800,-0.3985
1.650,0.9969,-0.0791,0.4950,-0.3888
1.700,0.9917,-0.1288,0.5100,-0.3703
1.750,0.9840,-0.1782,0.5250,-0.1436
1.800,0.9738,-0.2272,0.5400,-0.3091
1.850,0.9613,-0.2756,0.5550,-0.2677
1.900,0.9463,-0.3233,0.5700,-0.2203
1.950,0.9290,-0.3702,0.5850,-0.1679
2.000,0.9093,-0.4161,0.6000,-0.1118
2.050,0.8874,-0.4611,0.6150,-0.0531
2.100,0.8632,-0.5048,0.6300,0.2067
2.150,0.8369,-0.5474,0.6450,0.0664
2.200,0.8085,-0.5885,0.6600,0.1246
2.250,0.7781,-0.6282,0.6750,0.1800
2.300,0.7457,-0.6663,0.6900,0.2314
2.350,0.7115,-0.7027,0.7050,0.2775
2.400,0.6755,-0.7374,0.7200,0.3175
2.450,0.6378,-0.7702,0.7350,0.5503
2.500,0.5985,-0.8011,0.7500,0.3752
2.550,0.5577,-0.8301,0.7650,0.3917
